filename	acq_time	operator	randstr
func/sub-CTS239_task-restbaseline_bold.nii.gz	2015-08-28T10:28:31	n/a	m`^1ABCj
func/sub-CTS239_task-restfixationnofeedback_bold.nii.gz	2015-08-28T10:36:01	n/a	DQ[?TVE*
func/sub-CTS239_task-restfixationadaptive_bold.nii.gz	2015-08-28T10:44:00	n/a	Dpt}b>S7
func/sub-CTS239_task-restfixationfixed_bold.nii.gz	2015-08-28T10:52:02	n/a	=}YcG0%+
func/sub-CTS239_task-restmovienofeedback_bold.nii.gz	2015-08-28T10:59:37	n/a	g&\;Y%a:
func/sub-CTS239_task-restmovieadaptive_bold.nii.gz	2015-08-28T11:07:52	n/a	&_q?;d.(
func/sub-CTS239_task-restmoviefixed_bold.nii.gz	2015-08-28T11:15:38	n/a	lkv,<tT;
anat/sub-CTS239_T1w.nii.gz	2015-08-28T11:32:46	n/a	{u,d9r'z
fmap/sub-CTS239_magnitude1.nii.gz	2015-08-28T11:33:09	n/a	)}72,h`!
fmap/sub-CTS239_magnitude2.nii.gz	2015-08-28T11:33:09	n/a	9U'.+6t{
fmap/sub-CTS239_phasediff.nii.gz	2015-08-28T11:33:09	n/a	QFC:Hx2,
