filename	acq_time	operator	randstr
anat/sub-CTS211_T1w.nii.gz	2015-07-24T14:09:00	n/a	c[i3`:4]
func/sub-CTS211_task-restbaseline_bold.nii.gz	2015-07-24T14:10:15	n/a	"""/&_kPQR"
func/sub-CTS211_task-restfixationnofeedback_bold.nii.gz	2015-07-24T14:18:10	n/a	z/P8|Yvp
func/sub-CTS211_task-restfixationfixed_bold.nii.gz	2015-07-24T14:27:07	n/a	]?5&8gU}
func/sub-CTS211_task-restfixationadaptive_bold.nii.gz	2015-07-24T14:35:40	n/a	oHypUq3?
func/sub-CTS211_task-restmovieadaptive_bold.nii.gz	2015-07-24T14:53:23	n/a	^'G[o>_v
func/sub-CTS211_task-restmovienofeedback_bold.nii.gz	2015-07-24T15:01:24	n/a	To'C7e><
func/sub-CTS211_task-restmoviefixed_bold.nii.gz	2015-07-24T15:09:38	n/a	l$<7[4p?
fmap/sub-CTS211_magnitude1.nii.gz	2015-07-24T15:18:17	n/a	Yxnli0^y
fmap/sub-CTS211_magnitude2.nii.gz	2015-07-24T15:18:17	n/a	"&0zQA""->"
fmap/sub-CTS211_phasediff.nii.gz	2015-07-24T15:18:18	n/a	y^6?LEh=
