filename	acq_time	operator	randstr
func/sub-CTS219_task-restbaseline_bold.nii.gz	2015-07-14T09:41:33	n/a	nX<`:0GI
func/sub-CTS219_task-restmovienofeedback_bold.nii.gz	2015-07-14T09:49:28	n/a	d|T*1&XY
func/sub-CTS219_task-restmoviefixed_bold.nii.gz	2015-07-14T09:58:05	n/a	-{|t?$l8
func/sub-CTS219_task-restmovieadaptive_bold.nii.gz	2015-07-14T10:06:34	n/a	>O@9u,]?
func/sub-CTS219_task-restfixationfixed_bold.nii.gz	2015-07-14T10:15:11	n/a	!NB7ULYa
func/sub-CTS219_task-restfixationadaptive_bold.nii.gz	2015-07-14T10:23:45	n/a	gG0N1_/p
func/sub-CTS219_task-restfixationnofeedback_bold.nii.gz	2015-07-14T10:31:36	n/a	qgC!};xd
fmap/sub-CTS219_magnitude1.nii.gz	2015-07-14T10:40:34	n/a	;{8H3o[i
fmap/sub-CTS219_magnitude2.nii.gz	2015-07-14T10:40:34	n/a	r]/CW=~D
fmap/sub-CTS219_phasediff.nii.gz	2015-07-14T10:40:35	n/a	"FCY}P%s"""
anat/sub-CTS219_T1w.nii.gz	2015-07-14T10:49:06	n/a	(IQ8D/J*
anat/sub-CTS219_T2w.nii.gz	2015-07-14T10:54:46	n/a	u0y*6{WH
