filename	acq_time	operator	randstr
anat/sub-CTS231_T2w.nii.gz	2015-08-12T17:11:04	n/a	#/T1]8pU
anat/sub-CTS231_T1w.nii.gz	2015-08-12T18:51:22	n/a	b8%#[THX
func/sub-CTS231_task-restbaseline_bold.nii.gz	2015-08-20T17:53:51	n/a	"F#""Y]a(M"
func/sub-CTS231_task-restmovieadaptive_bold.nii.gz	2015-08-20T18:06:09	n/a	"""}m*:cUu"
func/sub-CTS231_task-restmoviefixed_bold.nii.gz	2015-08-20T18:15:07	n/a	^180~g4F
func/sub-CTS231_task-restmovienofeedback_bold.nii.gz	2015-08-20T18:23:24	n/a	nmQTE_|&
func/sub-CTS231_task-restfixationnofeedback_bold.nii.gz	2015-08-20T18:32:05	n/a	DhG-quRV
func/sub-CTS231_task-restfixationadaptive_bold.nii.gz	2015-08-20T18:46:38	n/a	yg>HuE|x
func/sub-CTS231_task-restfixationfixed_bold.nii.gz	2015-08-20T18:55:29	n/a	kHzYXewF
fmap/sub-CTS231_magnitude1.nii.gz	2015-08-20T19:03:49	n/a	O@~evr1o
fmap/sub-CTS231_magnitude2.nii.gz	2015-08-20T19:03:49	n/a	$q0UB1}N
fmap/sub-CTS231_phasediff.nii.gz	2015-08-20T19:03:49	n/a	"STw3""CLj"
