filename	acq_time	operator	randstr
anat/sub-CTS201_T1w.nii.gz	2015-07-21T14:25:51	n/a	"""#|MDNYZ"
func/sub-CTS201_task-restbaseline_bold.nii.gz	2015-07-22T13:53:24	n/a	e8S|<!Y]
func/sub-CTS201_task-restfixationadaptive_bold.nii.gz	2015-07-22T14:02:13	n/a	-vqf>agd
func/sub-CTS201_task-restfixationfixed_bold.nii.gz	2015-07-22T14:10:56	n/a	e(L1odB~
func/sub-CTS201_task-restfixationnofeedback_bold.nii.gz	2015-07-22T14:18:42	n/a	woc<dCVT
func/sub-CTS201_task-restmovienofeedback_bold.nii.gz	2015-07-22T14:26:35	n/a	]w2R8.9q
func/sub-CTS201_task-restmovieadaptive_bold.nii.gz	2015-07-22T14:35:12	n/a	HmR-=$5c
func/sub-CTS201_task-restmoviefixed_bold.nii.gz	2015-07-22T14:43:42	n/a	f+^q$M@X
fmap/sub-CTS201_magnitude1.nii.gz	2015-07-22T15:02:28	n/a	"%Y_3Ug."""
fmap/sub-CTS201_magnitude2.nii.gz	2015-07-22T15:02:28	n/a	{PSxnHYQ
fmap/sub-CTS201_phasediff.nii.gz	2015-07-22T15:02:29	n/a	#7j+LkC,
anat/sub-CTS201_T2w.nii.gz	2015-07-22T15:07:57	n/a	"E6""dD}]q"
