filename	acq_time	operator	randstr
func/sub-CTS238_task-restbaseline_bold.nii.gz	2015-08-28T09:17:22	n/a	8HnT=9:3
func/sub-CTS238_task-restfixationadaptive_bold.nii.gz	2015-08-28T09:25:33	n/a	Pq[rz/}L
func/sub-CTS238_task-restfixationnofeedback_bold.nii.gz	2015-08-28T09:33:16	n/a	)w}hfolA
func/sub-CTS238_task-restfixationfixed_bold.nii.gz	2015-08-28T09:41:09	n/a	"^AsYD""9u"
func/sub-CTS238_task-restmovieadaptive_bold.nii.gz	2015-08-28T09:49:06	n/a	`4$[hP7e
func/sub-CTS238_task-restmoviefixed_bold.nii.gz	2015-08-28T09:57:03	n/a	vD[\}Jqf
func/sub-CTS238_task-restmovienofeedback_bold.nii.gz	2015-08-28T10:04:23	n/a	OCi8?U(h
fmap/sub-CTS238_magnitude1.nii.gz	2015-08-28T10:12:42	n/a	7b19ilE&
fmap/sub-CTS238_magnitude2.nii.gz	2015-08-28T10:12:42	n/a	\pN>^|'v
fmap/sub-CTS238_phasediff.nii.gz	2015-08-28T10:12:43	n/a	*R8KDoQN
anat/sub-CTS238_T1w.nii.gz	2015-08-28T10:23:02	n/a	lGT('2LO
