filename	acq_time	operator	randstr
anat/sub-CTS218_T1w.nii.gz	2015-07-23T13:31:59	n/a	"(""^Ei:wF"
anat/sub-CTS218_T2w.nii.gz	2015-07-23T13:32:42	n/a	]k-g<GBT
func/sub-CTS218_task-restbaseline_bold.nii.gz	2015-07-24T12:35:45	n/a	_Ua1*V/W
func/sub-CTS218_task-restfixationfixed_bold.nii.gz	2015-07-24T12:44:23	n/a	Xrj$NJ&~
func/sub-CTS218_task-restfixationadaptive_bold.nii.gz	2015-07-24T12:53:18	n/a	fdCrL9nV
func/sub-CTS218_task-restfixationnofeedback_bold.nii.gz	2015-07-24T13:01:03	n/a	AVingK8,
func/sub-CTS218_task-restmoviefixed_bold.nii.gz	2015-07-24T13:09:52	n/a	EZPV>fUd
func/sub-CTS218_task-restmovienofeedback_bold.nii.gz	2015-07-24T13:17:44	n/a	]R4}^+$S
func/sub-CTS218_task-restmovieadaptive_bold.nii.gz	2015-07-24T13:26:20	n/a	>cS<4TYg
fmap/sub-CTS218_magnitude1.nii.gz	2015-07-24T13:35:19	n/a	\S(}vN^2
fmap/sub-CTS218_magnitude2.nii.gz	2015-07-24T13:35:19	n/a	F;n#jw*Q
fmap/sub-CTS218_phasediff.nii.gz	2015-07-24T13:35:19	n/a	+YM4RKA`
