filename	acq_time	operator	randstr
func/sub-CTS203_task-restbaseline_bold.nii.gz	2015-07-27T13:18:58	n/a	#riz3SU4
func/sub-CTS203_task-restfixationadaptive_bold.nii.gz	2015-07-27T13:28:18	n/a	D'F<-!+^
func/sub-CTS203_task-restfixationfixed_bold.nii.gz	2015-07-27T13:36:58	n/a	%KGHy>7O
func/sub-CTS203_task-restfixationnofeedback_bold.nii.gz	2015-07-27T13:45:11	n/a	"""3?@&(RD"
func/sub-CTS203_task-restmoviefixed_bold.nii.gz	2015-07-27T13:56:14	n/a	p(jCXS^g
func/sub-CTS203_task-restmovieadaptive_bold.nii.gz	2015-07-27T14:05:40	n/a	nN5gvy^:
func/sub-CTS203_task-restmovienofeedback_bold.nii.gz	2015-07-27T14:14:49	n/a	ZUKz+QwE
fmap/sub-CTS203_magnitude1.nii.gz	2015-07-27T14:23:42	n/a	O@x#e%]Y
fmap/sub-CTS203_magnitude2.nii.gz	2015-07-27T14:23:42	n/a	*aDy\pTP
fmap/sub-CTS203_phasediff.nii.gz	2015-07-27T14:23:43	n/a	`rnMiq8S
anat/sub-CTS203_T2w.nii.gz	2015-07-27T14:29:20	n/a	$eo.gMYt
anat/sub-CTS203_T1w.nii.gz	2015-07-27T14:38:11	n/a	z5Ge8O]c
