filename	acq_time	operator	randstr
func/sub-CTS237_task-restbaseline_bold.nii.gz	2015-08-30T07:46:01	n/a	xISpD6%<
func/sub-CTS237_task-restfixationadaptive_bold.nii.gz	2015-08-30T07:54:08	n/a	pNS<+Ti`
func/sub-CTS237_task-restfixationnofeedback_bold.nii.gz	2015-08-30T08:01:37	n/a	/Pbvp|VB
func/sub-CTS237_task-restfixationfixed_bold.nii.gz	2015-08-30T08:09:31	n/a	?<1eNfn^
func/sub-CTS237_task-restmovienofeedback_bold.nii.gz	2015-08-30T08:22:28	n/a	T+\<.)%*
func/sub-CTS237_task-restmoviefixed_bold.nii.gz	2015-08-30T08:30:38	n/a	Lld?1(4Q
func/sub-CTS237_task-restmovieadaptive_bold.nii.gz	2015-08-30T08:39:19	n/a	hq=+c1MS
fmap/sub-CTS237_magnitude1.nii.gz	2015-08-30T08:47:36	n/a	6>G{uUt\
fmap/sub-CTS237_magnitude2.nii.gz	2015-08-30T08:47:36	n/a	x@,h|l{b
fmap/sub-CTS237_phasediff.nii.gz	2015-08-30T08:47:38	n/a	tNrlOZc=
anat/sub-CTS237_T1w.nii.gz	2015-08-30T08:57:47	n/a	ng;9OXft
