filename	acq_time	operator	randstr
fmap/sub-CTS210_magnitude1.nii.gz	2015-07-08T08:06:45	n/a	]Rm#Pg<b
fmap/sub-CTS210_magnitude2.nii.gz	2015-07-08T08:06:45	n/a	",AJ(T""<b"
fmap/sub-CTS210_phasediff.nii.gz	2015-07-08T08:06:45	n/a	'1%MDx0i
func/sub-CTS210_task-restbaseline_bold.nii.gz	2015-07-08T08:17:26	n/a	aR}$I1jz
func/sub-CTS210_task-restfixationfixed_bold.nii.gz	2015-07-08T08:25:44	n/a	LP47e9Jn
func/sub-CTS210_task-restfixationnofeedback_bold.nii.gz	2015-07-08T08:33:34	n/a	NewVl6Ex
func/sub-CTS210_task-restfixationadaptive_bold.nii.gz	2015-07-08T08:42:03	n/a	Vdx8aR~k
func/sub-CTS210_task-restmoviefixed_bold.nii.gz	2015-07-08T08:50:38	n/a	B$+L<Dvt
func/sub-CTS210_task-restmovieadaptive_bold.nii.gz	2015-07-08T08:59:09	n/a	7DAu@&U-
func/sub-CTS210_task-restmovienofeedback_bold.nii.gz	2015-07-08T09:07:17	n/a	#i>P/Qmo
anat/sub-CTS210_T2w.nii.gz	2015-07-08T09:37:21	n/a	"Pf}.?""\D"
anat/sub-CTS210_T1w.nii.gz	2015-07-08T09:56:30	n/a	$nrL7MyU
